Point Time: 2024-03-28T05:10:00+00:00, Value: 962.3
Point Time: 2024-03-28T05:15:00+00:00, Value: 962.2
Point Time: 2024-03-28T05:20:00+00:00, Value: 961.3
Point Time: 2024-03-28T05:25:00+00:00, Value: 960.1
Point Time: 2024-03-28T05:30:00+00:00, Value: 960.2
Point Time: 2024-03-28T05:35:00+00:00, Value: 959.9
Point Time: 2024-03-28T05:40:00+00:00, Value: 957.1
Point Time: 2024-03-28T05:45:00+00:00, Value: 957.3
Point Time: 2024-03-28T05:50:00+00:00, Value: 956.8
Point Time: 2024-03-28T05:55:00+00:00, Value: 957.9
Point Time: 2024-03-28T06:00:00+00:00, Value: 955.0
Point Time: 2024-03-28T06:05:00+00:00, Value: 968.6
Point Time: 2024-03-28T06:10:00+00:00, Value: 970.4
Point Time: 2024-03-28T06:15:00+00:00, Value: 967.0
Point Time: 2024-03-28T06:20:00+00:00, Value: 965.6
Point Time: 2024-03-28T06:25:00+00:00, Value: 964.6
Point Time: 2024-03-28T06:30:00+00:00, Value: 963.7
Point Time: 2024-03-28T06:35:00+00:00, Value: 963.9
Point Time: 2024-03-28T06:40:00+00:00, Value: 963.8
Point Time: 2024-03-28T06:45:00+00:00, Value: 962.5
Point Time: 2024-03-28T06:50:00+00:00, Value: 963.2
Point Time: 2024-03-28T06:55:00+00:00, Value: 963.3
Point Time: 2024-03-28T07:00:00+00:00, Value: 962.9
Point Time: 2024-03-28T07:05:00+00:00, Value: 961.0
Point Time: 2024-03-28T07:10:00+00:00, Value: 961.5
Point Time: 2024-03-28T07:15:00+00:00, Value: 961.1
Point Time: 2024-03-28T07:20:00+00:00, Value: 961.7
Point Time: 2024-03-28T07:25:00+00:00, Value: 961.8
Point Time: 2024-03-28T07:30:00+00:00, Value: 961.2
Point Time: 2024-03-28T07:35:00+00:00, Value: 960.8
Point Time: 2024-03-28T07:40:00+00:00, Value: 959.8
Point Time: 2024-03-28T07:45:00+00:00, Value: 959.9
Point Time: 2024-03-28T07:50:00+00:00, Value: 959.2
Point Time: 2024-03-28T07:55:00+00:00, Value: 959.0
